Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2003-12-14T04:00:00Z,0.17,,13.38
M,H,2003-12-14T05:00:00Z,0.17,,9.78
M,H,2003-12-14T23:00:00Z,0.17,,16.47
M,H,2003-12-15T00:00:00Z,0.17,,18.02
M,H,2003-12-15T02:00:00Z,0.17,,14.41
M,H,2003-12-15T05:00:00Z,0.17,,16.99
M,H,2003-12-15T06:00:00Z,0.17,,19.56
M,H,2003-12-15T08:00:00Z,0.17,,15.96
M,H,2003-12-15T09:00:00Z,0.17,,14.93
M,H,2003-12-15T10:00:00Z,0.17,,16.47
M,H,2003-12-15T11:00:00Z,0.17,,13.38
M,H,2003-12-15T13:00:00Z,0.17,,15.96
M,H,2003-12-15T14:00:00Z,0.17,,14.93
M,H,2003-12-15T16:00:00Z,0.17,,12.87
M,H,2003-12-15T17:00:00Z,0.17,,14.41
M,H,2003-12-15T18:00:00Z,0.17,,13.38
M,H,2003-12-15T21:00:00Z,0.17,,13.38
M,H,2003-12-16T00:00:00Z,0.17,,11.32
M,H,2003-12-16T01:00:00Z,0.17,,10.3
M,H,2003-12-16T02:00:00Z,0.17,,10.3
M,H,2003-12-16T03:00:00Z,0.17,,11.84
M,H,2003-12-16T04:00:00Z,0.17,,10.81
M,H,2003-12-16T06:00:00Z,0.17,,10.81
M,H,2003-12-20T06:00:00Z,0.17,,13.38
M,H,2003-12-20T10:00:00Z,0.17,,11.32
M,H,2003-12-21T13:00:00Z,0.17,,15.44
M,H,2003-12-21T15:00:00Z,0.17,,14.41
M,H,2003-12-21T16:00:00Z,0.17,,14.41
M,H,2003-12-21T17:00:00Z,0.17,,12.87
M,H,2003-12-22T00:00:00Z,0.17,,10.3
M,H,2003-12-22T15:00:00Z,0.17,,12.35
M,H,2003-12-23T02:00:00Z,0.17,,18.02
M,H,2003-12-23T06:00:00Z,0.17,,18.02
M,H,2003-12-24T20:00:00Z,0.17,,16.99
M,H,2003-12-24T21:00:00Z,0.17,,16.47
M,H,2003-12-24T22:00:00Z,0.17,,16.99
M,H,2003-12-24T23:00:00Z,0.17,,18.02
M,H,2003-12-26T02:00:00Z,0.17,,14.93
M,H,2003-12-26T03:00:00Z,0.17,,17.5
M,H,2003-12-26T04:00:00Z,0.17,,13.9
M,H,2003-12-26T05:00:00Z,0.17,,15.96
M,H,2003-12-26T06:00:00Z,0.17,,13.38
M,H,2003-12-26T08:00:00Z,0.17,,12.35
M,H,2003-12-26T22:00:00Z,0.17,,9.27
M,H,2004-01-31T20:00:00Z,0.17,,13.9
M,H,2004-02-01T00:00:00Z,0.17,,11.32
M,H,2004-02-01T03:00:00Z,0.17,,13.9
M,H,2004-02-01T06:00:00Z,0.17,,14.41
M,H,2004-02-04T06:00:00Z,0.17,,13.9
M,H,2004-02-04T07:00:00Z,0.17,,14.93
M,H,2004-02-04T08:00:00Z,0.17,,12.35
M,H,2004-02-04T09:00:00Z,0.17,,20.08
M,H,2004-02-04T11:00:00Z,0.17,,16.99
M,H,2004-02-04T14:00:00Z,0.17,,13.38
M,H,2004-02-04T16:00:00Z,0.17,,14.41
M,H,2004-02-04T20:00:00Z,0.17,,12.87
M,H,2004-02-05T00:00:00Z,0.17,,11.84
M,H,2004-02-05T03:00:00Z,0.17,,11.84
M,H,2004-02-08T01:00:00Z,0.17,,10.3
M,H,2004-02-09T14:00:00Z,0.17,,10.3
M,H,2004-02-10T00:00:00Z,0.17,,12.35
M,H,2004-02-11T06:00:00Z,0.17,,11.84
M,H,2004-02-11T21:00:00Z,0.17,,16.99
M,H,2004-02-11T22:00:00Z,0.17,,16.99
M,H,2004-02-11T23:00:00Z,0.17,,23.68
M,H,2004-02-12T00:00:00Z,0.17,,17.5
